Because I am french speaking and because I taged my first day as first-day:


Number  Ordinal
00  zeroth
01  first
02  second
03  third
04  fourth
05  fifth
06  sixth
07  seventh
08  eighth
09  ninth
10  tenth
11  eleventh
12  twelfth
13  thirteenth
14  fourteenth
15  fifteenth
16  sixteenth
17  seventeenth
18  eighteenth
19  nineteenth
20  twentieth
21  twenty-first
22  twenty-second
23  twenty-third
24  twenty-fourth
25  twenty-fifth
26  twenty-sixth
27  twenty-seventh
28  twenty-eighth
29  twenty-ninth
30  thirtieth
31  thirty-first
32  thirty-second
33  thirty-third
34  thirty-fourth
35  thirty-fifth
36  thirty-sixth
37  thirty-seventh
38  thirty-eighth
39  thirty-ninth
40  fortieth
41  forty-first
42  forty-second
43  forty-third
44  forty-fourth
45  forty-fifth
46  forty-sixth
47  forty-seventh
48  forty-eighth
49  forty-ninth
50  fiftieth
51  fifty-first
52  fifty-second
53  fifty-third
54  fifty-fourth
55  fifty-fifth
56  fifty-sixth
57  fifty-seventh
58  fifty-eighth
59  fifty-ninth
60  sixtieth
61  sixty-first
62  sixty-second
63  sixty-third
64  sixty-fourth
65  sixty-fifth
66  sixty-sixth
67  sixty-seventh
68  sixty-eighth
69  sixty-ninth
70  seventieth
71  seventy-first
72  seventy-second
73  seventy-third
74  seventy-fourth
75  seventy-fifth
76  seventy-sixth
77  seventy-seventh
78  seventy-eighth
79  seventy-ninth
80  eightieth
81  eighty-first
82  eighty-second
83  eighty-third
84  eighty-fourth
85  eighty-fifth
86  eighty-sixth
87  eighty-seventh
88  eighty-eighth
89  eighty-ninth
90  ninetieth
91  ninety-first
92  ninety-second
93  ninety-third
94  ninety-fourth
95  ninety-fifth
96  ninety-sixth
97  ninety-seventh
98  ninety-eighth
99  ninety-ninth
100 hundredth


00  zeroth-day
01  first-day
02  second-day
03  third-day
04  fourth-day
05  fifth-day
06  sixth-day
07  seventh-day
08  eighth-day
09  ninth-day
10  tenth-day
11  eleventh-day
12  twelfth-day
13  thirteenth-day
14  fourteenth-day
15  fifteenth-day
16  sixteenth-day
17  seventeenth-day
18  eighteenth-day
19  nineteenth-day
20  twentieth-day
21  twenty-first-day
22  twenty-second-day
23  twenty-third-day
24  twenty-fourth-day
25  twenty-fifth-day
26  twenty-sixth-day
27  twenty-seventh-day
28  twenty-eighth-day
29  twenty-ninth-day
30  thirtieth-day
31  thirty-first-day
32  thirty-second-day
33  thirty-third-day
34  thirty-fourth-day
35  thirty-fifth-day
36  thirty-sixth-day
37  thirty-seventh-day
38  thirty-eighth-day
39  thirty-ninth-day
40  fortieth-day
41  forty-first-day
42  forty-second-day
43  forty-third-day
44  forty-fourth-day
45  forty-fifth-day
46  forty-sixth-day
47  forty-seventh-day
48  forty-eighth-day
49  forty-ninth-day
50  fiftieth-day
51  fifty-first-day
52  fifty-second-day
53  fifty-third-day
54  fifty-fourth-day
55  fifty-fifth-day
56  fifty-sixth-day
57  fifty-seventh-day
58  fifty-eighth-day
59  fifty-ninth-day
60  sixtieth-day
61  sixty-first-day
62  sixty-second-day
63  sixty-third-day
64  sixty-fourth-day
65  sixty-fifth-day
66  sixty-sixth-day
67  sixty-seventh-day
68  sixty-eighth-day
69  sixty-ninth-day
70  seventieth-day
71  seventy-first-day
72  seventy-second-day
73  seventy-third-day
74  seventy-fourth-day
75  seventy-fifth-day
76  seventy-sixth-day
77  seventy-seventh-day
78  seventy-eighth-day
79  seventy-ninth-day
80  eightieth-day
81  eighty-first-day
82  eighty-second-day
83  eighty-third-day
84  eighty-fourth-day
85  eighty-fifth-day
86  eighty-sixth-day
87  eighty-seventh-day
88  eighty-eighth-day
89  eighty-ninth-day
90  ninetieth-day
91  ninety-first-day
92  ninety-second-day
93  ninety-third-day
94  ninety-fourth-day
95  ninety-fifth-day
96  ninety-sixth-day
97  ninety-seventh-day
98  ninety-eighth-day
99  ninety-ninth-day
100 hundredth-day
